source_brand,source_patient_id,email_opt_in,sms_opt_in,phone_opt_in,marketing_opt_in,research_opt_in,last_updated
MEDFIRST,11748,True,True,False,True,True,2026-05-13T18:06:13.744387
MEDFIRST,10468,True,True,True,True,False,2026-05-13T18:06:13.744401
MEDFIRST,11567,True,True,False,True,False,2026-05-13T18:06:13.744405
MEDFIRST,10236,True,False,False,True,False,2026-05-13T18:06:13.744409
MEDFIRST,10209,True,False,True,True,False,2026-05-13T18:06:13.744490
MEDFIRST,10100,True,True,False,False,False,2026-05-13T18:06:13.744496
MEDFIRST,29658,True,True,True,True,True,2026-05-13T18:06:13.744525
MEDFIRST,10477,False,True,True,True,True,2026-05-13T18:06:13.744530
MEDFIRST,10318,True,False,True,False,True,2026-05-13T18:06:13.744535
MEDFIRST,23507,True,True,True,False,False,2026-05-13T18:06:13.744557
MEDFIRST,10312,True,True,True,True,True,2026-05-13T18:06:13.744562
MEDFIRST,10050,False,True,False,True,False,2026-05-13T18:06:13.744566
MEDFIRST,10007,True,True,True,True,True,2026-05-13T18:06:13.744570
MEDFIRST,10495,True,True,False,True,True,2026-05-13T18:06:13.744573
MEDFIRST,10431,False,True,True,True,False,2026-05-13T18:06:13.744577
MEDFIRST,10474,False,True,True,False,False,2026-05-13T18:06:13.744580
MEDFIRST,10387,True,True,False,True,False,2026-05-13T18:06:13.744584
MEDFIRST,10255,True,False,True,True,True,2026-05-13T18:06:13.744587
MEDFIRST,11677,True,True,True,True,True,2026-05-13T18:06:13.744591
MEDFIRST,10186,True,True,True,True,True,2026-05-13T18:06:13.744594
MEDFIRST,10238,True,True,True,True,True,2026-05-13T18:06:13.744598
MEDFIRST,10433,True,True,False,True,False,2026-05-13T18:06:13.744601
MEDFIRST,10352,False,True,True,True,False,2026-05-13T18:06:13.744605
MEDFIRST,11527,True,True,True,True,False,2026-05-13T18:06:13.744608
MEDFIRST,10128,True,False,True,True,True,2026-05-13T18:06:13.744612
MEDFIRST,10264,True,True,True,False,False,2026-05-13T18:06:13.744616
MEDFIRST,11766,True,True,True,True,False,2026-05-13T18:06:13.744619
MEDFIRST,10263,True,False,False,False,False,2026-05-13T18:06:13.744623
MEDFIRST,10179,False,False,True,True,False,2026-05-13T18:06:13.744626
MEDFIRST,11632,True,True,False,True,True,2026-05-13T18:06:13.744629
MEDFIRST,10323,True,True,True,False,False,2026-05-13T18:06:13.744633
MEDFIRST,10069,True,False,True,True,False,2026-05-13T18:06:13.744636
MEDFIRST,10428,True,True,False,False,True,2026-05-13T18:06:13.744640
MEDFIRST,10332,True,False,False,True,False,2026-05-13T18:06:13.744643
MEDFIRST,10287,False,False,False,True,False,2026-05-13T18:06:13.744647
MEDFIRST,10059,True,True,True,True,False,2026-05-13T18:06:13.744650
MEDFIRST,24036,True,True,True,False,False,2026-05-13T18:06:13.744654
MEDFIRST,11654,False,False,True,True,True,2026-05-13T18:06:13.744657
MEDFIRST,10191,True,True,True,False,False,2026-05-13T18:06:13.744661
MEDFIRST,10048,True,True,True,True,False,2026-05-13T18:06:13.744665
MEDFIRST,10226,True,True,False,True,True,2026-05-13T18:06:13.744711
MEDFIRST,10384,True,False,False,False,True,2026-05-13T18:06:13.744718
MEDFIRST,26690,True,False,False,False,True,2026-05-13T18:06:13.744722
MEDFIRST,10212,True,True,False,True,False,2026-05-13T18:06:13.744726
MEDFIRST,10188,True,True,False,True,True,2026-05-13T18:06:13.744731
MEDFIRST,10493,False,False,False,True,False,2026-05-13T18:06:13.744735
MEDFIRST,10276,True,True,False,True,True,2026-05-13T18:06:13.744738
MEDFIRST,10354,True,False,True,False,False,2026-05-13T18:06:13.744742
MEDFIRST,10421,True,True,True,False,False,2026-05-13T18:06:13.744745
MEDFIRST,10245,True,True,True,True,False,2026-05-13T18:06:13.744749
MEDFIRST,10168,True,False,False,True,True,2026-05-13T18:06:13.744752
MEDFIRST,10133,True,True,True,True,False,2026-05-13T18:06:13.744755
MEDFIRST,10379,False,True,True,True,False,2026-05-13T18:06:13.744759
MEDFIRST,10162,True,True,False,False,False,2026-05-13T18:06:13.744763
MEDFIRST,10336,True,True,False,True,False,2026-05-13T18:06:13.744766
MEDFIRST,10109,True,True,False,False,True,2026-05-13T18:06:13.744769
MEDFIRST,10345,True,True,False,True,True,2026-05-13T18:06:13.744773
MEDFIRST,10373,True,True,True,True,True,2026-05-13T18:06:13.744776
MEDFIRST,10367,True,True,True,True,False,2026-05-13T18:06:13.744780
