provider_id,measurement_month,rvu_score,capacity_utilization_pct,open_appointment_slots,patient_satisfaction_score,no_show_rate
PRV-1000,2026-05,4.92,72.7,11,4.88,0.182
PRV-1000,2026-04,2.98,74.4,12,4.66,0.186
PRV-1000,2026-03,2.62,44.9,6,4.9,0.02
PRV-1000,2026-02,2.37,59.4,4,3.8,0.156
PRV-1000,2026-01,2.07,90.1,25,4.25,0.097
PRV-1000,2025-12,3.06,65.6,30,3.96,0.1
PRV-1001,2026-05,3.17,89.6,13,4.97,0.12
PRV-1001,2026-04,2.42,95.9,6,4.43,0.104
PRV-1001,2026-03,3.22,85.6,8,3.01,0.042
PRV-1001,2026-02,3.07,62.3,21,3.27,0.081
PRV-1001,2026-01,2.78,63.6,11,4.7,0.029
PRV-1001,2025-12,4.63,50.4,6,3.8,0.031
PRV-1002,2026-05,2.84,62.8,27,3.09,0.102
PRV-1002,2026-04,4.94,85.2,7,3.05,0.146
PRV-1002,2026-03,2.62,47.0,22,3.51,0.118
PRV-1002,2026-02,2.85,99.3,11,4.39,0.143
PRV-1002,2026-01,4.28,73.0,13,3.03,0.071
PRV-1002,2025-12,2.57,67.7,0,4.93,0.066
PRV-1003,2026-05,2.35,44.4,25,3.49,0.092
PRV-1003,2026-04,4.51,61.0,10,4.3,0.181
PRV-1003,2026-03,2.71,97.6,10,4.71,0.13
PRV-1003,2026-02,5.28,41.6,2,4.56,0.089
PRV-1003,2026-01,4.72,88.8,29,4.31,0.136
PRV-1003,2025-12,5.25,67.7,16,3.12,0.136
PRV-1004,2026-05,5.14,42.9,8,4.6,0.167
PRV-1004,2026-04,3.94,53.7,2,3.14,0.046
PRV-1004,2026-03,2.12,91.3,7,3.25,0.135
PRV-1004,2026-02,5.04,44.1,7,4.16,0.046
PRV-1004,2026-01,4.58,69.0,20,3.7,0.036
PRV-1004,2025-12,3.82,99.4,22,3.36,0.141
PRV-1005,2026-05,4.77,57.2,30,3.32,0.199
PRV-1005,2026-04,2.88,88.8,8,4.59,0.049
PRV-1005,2026-03,4.69,80.6,29,4.81,0.194
PRV-1005,2026-02,5.3,87.4,10,3.57,0.036
PRV-1005,2026-01,5.11,42.6,9,3.57,0.062
PRV-1005,2025-12,2.52,41.3,11,4.2,0.182
PRV-1006,2026-05,5.13,58.7,0,3.83,0.143
PRV-1006,2026-04,4.03,98.0,6,3.27,0.195
PRV-1006,2026-03,2.43,40.6,0,4.45,0.091
PRV-1006,2026-02,3.15,89.6,4,3.13,0.061
PRV-1006,2026-01,2.86,40.8,23,4.89,0.075
PRV-1006,2025-12,4.52,56.7,3,3.91,0.109
PRV-1007,2026-05,2.65,52.2,20,4.19,0.061
PRV-1007,2026-04,4.05,83.2,11,3.4,0.187
PRV-1007,2026-03,3.92,63.6,3,4.63,0.158
PRV-1007,2026-02,4.95,87.5,13,3.72,0.19
PRV-1007,2026-01,2.4,98.8,29,3.92,0.043
PRV-1007,2025-12,4.18,84.0,26,3.13,0.098
PRV-1008,2026-05,5.17,48.8,3,4.63,0.107
PRV-1008,2026-04,4.35,48.4,5,4.41,0.056
PRV-1008,2026-03,2.28,70.2,16,3.73,0.142
PRV-1008,2026-02,3.4,48.8,3,3.73,0.141
PRV-1008,2026-01,2.47,68.6,20,3.63,0.091
PRV-1008,2025-12,2.14,61.4,1,4.03,0.147
PRV-1009,2026-05,5.41,74.6,9,3.6,0.044
PRV-1009,2026-04,3.52,51.5,22,3.06,0.113
PRV-1009,2026-03,5.43,52.9,30,3.69,0.024
PRV-1009,2026-02,3.54,89.0,9,3.61,0.103
PRV-1009,2026-01,4.91,70.4,27,4.3,0.029
PRV-1009,2025-12,3.7,92.6,29,4.44,0.182
PRV-1010,2026-05,2.64,41.3,30,3.9,0.065
PRV-1010,2026-04,4.17,85.8,23,4.83,0.047
PRV-1010,2026-03,2.72,72.0,21,3.08,0.15
PRV-1010,2026-02,2.92,80.8,28,3.14,0.15
PRV-1010,2026-01,2.19,41.4,30,4.55,0.13
PRV-1010,2025-12,4.62,58.1,25,4.59,0.062
PRV-1011,2026-05,3.07,93.9,12,3.18,0.074
PRV-1011,2026-04,5.3,90.6,16,4.17,0.154
PRV-1011,2026-03,2.96,46.2,15,3.91,0.135
PRV-1011,2026-02,2.71,61.5,4,4.51,0.056
PRV-1011,2026-01,4.1,42.3,12,4.85,0.131
PRV-1011,2025-12,3.05,68.5,19,3.49,0.157
PRV-1012,2026-05,5.5,67.1,20,3.94,0.102
PRV-1012,2026-04,2.2,74.8,24,3.28,0.034
PRV-1012,2026-03,4.41,91.5,28,3.51,0.187
PRV-1012,2026-02,2.37,98.7,27,4.69,0.181
PRV-1012,2026-01,5.49,83.4,7,4.95,0.045
PRV-1012,2025-12,5.27,58.0,5,3.97,0.042
PRV-1013,2026-05,3.17,98.9,17,3.39,0.11
PRV-1013,2026-04,3.38,42.2,28,4.92,0.083
PRV-1013,2026-03,5.19,45.3,22,4.62,0.078
PRV-1013,2026-02,5.42,52.7,29,3.63,0.04
PRV-1013,2026-01,4.2,51.5,16,3.75,0.176
PRV-1013,2025-12,5.26,69.5,12,4.45,0.093
PRV-1014,2026-05,2.85,96.9,22,3.25,0.053
PRV-1014,2026-04,4.11,60.1,17,3.88,0.129
PRV-1014,2026-03,5.32,92.6,0,3.03,0.12
PRV-1014,2026-02,3.52,67.0,12,3.5,0.128
PRV-1014,2026-01,2.91,74.7,22,3.61,0.099
PRV-1014,2025-12,2.61,67.1,2,4.5,0.033
PRV-1015,2026-05,5.25,46.1,11,4.2,0.036
PRV-1015,2026-04,4.15,48.5,14,4.16,0.077
PRV-1015,2026-03,3.0,64.3,27,4.82,0.194
PRV-1015,2026-02,2.59,92.9,22,3.66,0.094
PRV-1015,2026-01,4.06,85.1,3,3.09,0.12
PRV-1015,2025-12,2.35,45.0,27,3.89,0.164
PRV-1016,2026-05,3.48,64.6,22,4.95,0.189
PRV-1016,2026-04,3.41,47.2,24,3.17,0.095
PRV-1016,2026-03,3.03,82.8,9,3.64,0.089
PRV-1016,2026-02,4.77,60.2,20,3.6,0.061
PRV-1016,2026-01,3.38,98.3,21,3.22,0.044
PRV-1016,2025-12,4.58,78.5,13,3.57,0.048
PRV-1017,2026-05,4.73,49.2,12,4.78,0.074
PRV-1017,2026-04,2.11,44.2,29,4.85,0.038
PRV-1017,2026-03,3.41,60.9,22,4.96,0.048
PRV-1017,2026-02,2.32,41.0,18,3.09,0.137
PRV-1017,2026-01,2.97,93.1,12,3.98,0.085
PRV-1017,2025-12,2.54,87.6,12,3.99,0.069
PRV-1018,2026-05,4.62,84.2,6,4.21,0.098
PRV-1018,2026-04,5.38,59.9,9,4.57,0.067
PRV-1018,2026-03,2.43,82.0,3,4.34,0.06
PRV-1018,2026-02,5.07,80.1,15,4.12,0.15
PRV-1018,2026-01,3.25,61.1,20,3.78,0.178
PRV-1018,2025-12,2.04,70.3,26,4.29,0.023
PRV-1019,2026-05,4.68,63.1,24,3.72,0.026
PRV-1019,2026-04,3.92,77.1,20,4.13,0.078
PRV-1019,2026-03,3.1,80.7,19,4.56,0.186
PRV-1019,2026-02,4.18,65.1,7,4.62,0.084
PRV-1019,2026-01,3.24,51.3,14,4.28,0.037
PRV-1019,2025-12,3.59,94.0,29,3.03,0.181
PRV-1020,2026-05,5.0,92.2,4,4.03,0.15
PRV-1020,2026-04,5.32,75.0,0,3.01,0.057
PRV-1020,2026-03,4.88,87.5,8,3.93,0.098
PRV-1020,2026-02,2.59,48.3,4,3.98,0.137
PRV-1020,2026-01,4.44,65.4,10,4.54,0.057
PRV-1020,2025-12,2.4,68.4,1,4.87,0.128
PRV-1021,2026-05,4.26,56.0,23,3.94,0.2
PRV-1021,2026-04,3.52,50.1,7,4.56,0.049
PRV-1021,2026-03,3.89,42.1,21,3.7,0.042
PRV-1021,2026-02,2.77,54.3,12,3.74,0.107
PRV-1021,2026-01,2.27,56.4,0,4.83,0.155
PRV-1021,2025-12,3.89,46.2,10,4.31,0.156
PRV-1022,2026-05,4.0,48.2,9,3.16,0.096
PRV-1022,2026-04,3.52,94.0,8,4.7,0.175
PRV-1022,2026-03,2.9,74.8,1,3.63,0.163
PRV-1022,2026-02,3.03,66.0,21,3.63,0.085
PRV-1022,2026-01,3.54,78.9,7,4.71,0.067
PRV-1022,2025-12,4.63,50.6,20,4.7,0.069
PRV-1023,2026-05,3.19,70.6,0,3.01,0.131
PRV-1023,2026-04,3.44,64.3,21,3.03,0.022
PRV-1023,2026-03,3.19,81.6,2,4.51,0.115
PRV-1023,2026-02,3.42,75.9,27,4.8,0.134
PRV-1023,2026-01,3.2,70.7,28,3.67,0.108
PRV-1023,2025-12,2.58,90.6,27,3.64,0.143
PRV-1024,2026-05,2.65,63.1,3,4.18,0.142
PRV-1024,2026-04,2.51,70.3,20,3.87,0.094
PRV-1024,2026-03,4.95,72.2,25,3.85,0.055
